Order Date,Title,Category,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Shipment Date,Shipping Address State,Order Status,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
2021-01-25,"SOLEJAZZ Double Sided Felt Letter Board 12""x12"" with Rustic Wood Frame, 730 Precut White & Gold Letters, Numbers, Symbols, Emojis for Changeable Message Board, Wall & Tabletop Display, Vintage White",SIGNAGE,Amazon.com,,new,RAINBO,,$0.00,$18.99,1,CREDIT_CARD_D,,,1/25/21,NY,Shipped,$18.99,$1.69,$20.68,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,"KIND Bars, Peanut Butter Dark Chocolate, Gluten Free,1.4 Ounce,12 Count",SNACK_FOOD_BAR,Amazon.com,,new,Amazon.com,,$23.88,$12.68,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/24/21,NY,Shipped,$12.68,$0.96,$13.64,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,"Scott 1000 Sheets Per Roll Toilet Paper, 32 Rolls (4 Packs of 8), Bath Tissue",TOILET_PAPER,Amazon.com,,new,Amazon.com,,$27.99,$22.78,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/22/21,NY,Shipped,$22.78,$1.72,$24.50,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,"Bounty Quick-Size Paper Towels, White, 16 Family Rolls = 40 Regular Rolls (Packaging May Vary)",PAPER_TOWEL,Amazon.com,,new,Amazon.com,,$38.84,$38.84,1,CREDIT_CARD_C and Gift Certificate/Card,,,2/24/21,NY,Shipped,$38.84,$2.93,$41.77,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,Dr. Brown's Original Baby Bottle Newborn Feeding Set,BABY_BOTTLE,Amazon.com,,new,Amazon.com,,$24.99,$25.19,1,CREDIT_CARD_D,,,1/31/21,NY,Shipped,$25.19,$2.24,$27.43,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,"Similac Pro-Advance Infant Formula with 2'-FL Human Milk Oligosaccharide (HMO) for Immune Support, Ready to Drink Bottles, 2 Fl Oz (48 Count)",HEALTH_PERSONAL_CARE,Amazon.com,,new,Amazon.com,,$51.99,$51.99,1,CREDIT_CARD_D,,,1/31/21,NY,Shipped,$51.99,$0.00,$51.99,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,"Palmolive Liquid Dish Soap, Apple Pear - 25 Fl Oz",CLEANING_AGENT,Amazon.com,,new,Amazon.com,,$0.00,$6.70,1,CREDIT_CARD_D,,,2/2/21,NY,Shipped,$6.70,$0.59,$7.29,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,"Aveeno Skin Relief Fragrance-Free Body Wash with Oat to Soothe Dry Itchy Skin, Gentle, Soap-Free & Dye-Free for Sensitive Skin, 33 fl. oz",SKIN_CLEANING_AGENT,Amazon.com,,new,Amazon.com,,$13.39,$9.93,1,CREDIT_CARD_D,,,2/2/21,NY,Shipped,$9.93,$0.88,$10.81,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,Bamboo Organics Best 100% Viscone from Bamboo Baby Washcloths Soft Baby Wipes,TOWEL,Amazon.com,,new,Tranquil Outdoors,,$23.99,$13.47,1,CREDIT_CARD_D,,,2/1/21,NY,Shipped,$13.47,$1.20,$14.67,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,"Burt's Bees Baby - Hooded Towels, Absorbent Knit Terry, Super Soft Single Ply, 100% Organic Cotton (Hello Moon!, 2-Pack)",TOWEL,Amazon.com,,new,Amazon.com,,$24.95,$24.99,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$24.99,$2.22,$27.21,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,G128 - American USA US Flag 3x5 ft Embroidered Stars Sewn Stripes Brass Grommets,BANNER,Amazon.com,,new,Smiley Hope International (G128 LLC),,$28.99,$16.95,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$16.95,$0.00,$16.95,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,"Cascade Complete Dishwasher Pods, ActionPacs Dishwasher Detergent Tabs, Fresh Scent",DISHWASHER_DETERGENT,Amazon.com,,new,Amazon.com,,$18.99,$16.97,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$16.97,$1.51,$18.48,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,"Prepworks by Progressive Dough Press, Set of 3",PASTA_MAKER,Amazon.com,,new,Amazon.com,,$32.97,$6.54,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$6.54,$0.58,$7.12,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,"Align Probiotic Pro Formula, #1 Doctor Recommended Brand, Helps Soothe Occasional Gas, Abdominal Discomfort, Bloating to Support a Healthy Digestive System 24/7, 63 Capsules",NUTRITIONAL_SUPPLEMENT,Amazon.com,,new,Amazon.com,,$46.99,$37.59,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/24/21,NY,Shipped,$37.59,$0.00,$37.59,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,GUYUCOM 8.5-Inch LCD Writing Tablet Colorful Screen Doodle Board Electronic Digital Drawing Pad with Lock Button for Kids Adults(Pink),BICYCLE,Amazon.com,,new,GUYUCOM DIRECT,,$19.99,$9.98,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$9.98,$0.71,$10.69,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,"Bag Nation Diaper Bag Backpack: Large Capacity Unisex Baby Bag with Stroller Straps, Changing Pad and Sundry Bag, Holds All Your Baby’s Essentials (Black)",BACKPACK,Amazon.com,,new,Bag Nation,,$79.95,$39.95,1,CREDIT_CARD_D,,,2/1/21,NY,Shipped,$39.95,$3.01,$42.96,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,"Infantino Carry On Carrier - Ergonomic, Expandable, face-in and face-Out, Front and Back Carry for Newborns and Older Babies 8-40 lbs",BABY_CARRIER,Amazon.com,,new,Amazon.com,,$54.99,$44.59,1,CREDIT_CARD_D,,,2/3/21,NY,Shipped,$44.59,$3.36,$47.95,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,"LEDVANCE 73888 046135738883 SYLVANIA, 60W Equivalent, LED Light Bulb, A19 Lamp, 4 Pack, Soft White, Energy Saving & Longer Life, Medium Base, Efficient 8.5W, 2700K, 4 Count",LIGHT_BULB,Amazon.com,,new,Amazon.com,,$14.99,$7.67,1,CREDIT_CARD_D,,,2/4/21,NY,Shipped,$7.67,$0.68,$8.35,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,"Johnson's Baby Oil, Mineral Oil Enriched With Shea & Cocoa Butter to Prevent Moisture Loss, Hypoallergenic, 20 fl. oz",SKIN_MOISTURIZER,Amazon.com,,new,Amazon.com,,$8.57,$4.68,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/27/21,NY,Shipped,$4.68,$0.35,$5.03,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,"Amazon Brand - Solimo Tall Kitchen Drawstring Trash Bags, 13 Gallon, 200 Count",WASTE_BAG,Amazon.com,,new,Amazon.com,,$18.50,$18.50,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/26/21,NY,Shipped,$18.50,$1.40,$19.90,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,"andily Portable Space Heater, Up to 260 Square Feet, Adjustable Thermostat, Ceramic Heater, Energy Save Technology , Rapid Heating, Overheat Protection and Carrying Handle, 4 Modes 750W/1000W/1500W",SPACE_HEATER,Amazon.com,,new,Baslly Store,,$0.00,$25.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/6/21,NY,Shipped,$25.99,$1.95,$27.94,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,"Lifetime Height Adjustable Craft Camping and Utility Folding Table, 4 Foot, 4'/48 x 24, White Granite",TABLE,Amazon.com,,new,Amazon.com,,$49.99,$49.99,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/5/21,NY,Shipped,$49.99,$4.44,$54.43,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,"Baby Nail File Electric Nail Trimmer Manicure Set with Nail Clippers, Toes Fingernails Care Trim Polish Grooming Kit Safe for Infant Toddler Kids or Women, LED Light and 10 Grinding Heads (White/Teal)",HEALTH_PERSONAL_CARE,Amazon.com,,new,Consevisen,,$24.99,$16.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/5/21,NY,Shipped,$16.99,$1.51,$18.50,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"Actume 12 PCS PVC Mesh Zippered Envelope - (5 Colors, 3 Sizes) Plastic Waterproof Zipper Folders for School, Document, Travel, Cosmetics, Receipts",FILE_FOLDER,Amazon.com,,new,Actume,,$0.00,$10.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/7/21,NY,Shipped,$10.99,$0.98,$11.97,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"A4 Plastic Envelopes Poly Envelopes, 10 Pack Clear File Bags Document Folders Organizers in 5 Assorted Colors for Document Stationery Tools,with Hook and Loop Closure Assorted Colors",FILE_FOLDER,Amazon.com,,new,JDSI Official Store,,$0.00,$9.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/11/21,NY,Shipped,$9.99,$0.89,$10.88,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"MAKHISTORY Plastic Folders with Pockets - 8 Pack, Plastic Folders with 3 Holes Punched for 3 Ring Binder, Includes Business Card Slot, Keeps Letter Size Paper, Bright Colors",FILE_FOLDER,Amazon.com,,new,Enjoy Happy Time,,$13.99,$9.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/7/21,NY,Shipped,$9.99,$0.89,$10.88,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"GOGOODA Set of 7 Mesh Laundry Bags for Delicates Machine Wash Bags for Lingerie, Laundry, Hosiery, Blouse, Underwear, Pantyhose, Socks, Shoes",STORAGE_BAG,Amazon.com,,new,amBag---Gogooda_Authorized,,$0.00,$9.34,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/8/21,NY,Shipped,$9.34,$0.83,$10.17,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"PURELL Advanced Hand Sanitizer Variety Pack, Naturals and Refreshing Gel, 1 Fl Oz Travel Size Flip-Cap Bottle with Jelly Wrap Carrier (Pack of 8) - 3900-09-ECSC",JANITORIAL_SUPPLY,Amazon.com,,new,Amazon.com,,$0.00,$16.64,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/10/21,NY,Shipped,$16.64,$1.48,$18.12,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"Johnson's Baby Oil, Mineral Oil Enriched With Shea & Cocoa Butter to Prevent Moisture Loss, Hypoallergenic, 20 fl. oz",SKIN_MOISTURIZER,Amazon.com,,new,Amazon.com,,$8.57,$4.68,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/6/21,NY,Shipped,$4.68,$0.42,$5.10,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,"LVEUD Gold Glitter Acrylic Happy Anniversary Birthday Cake Topper for - Wedding,Birthday Party Decoration",CAKE_TOPPER,Amazon.com,,new,LVEUD,,$0.00,$5.99,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/7/21,NY,Shipped,$5.99,$0.53,$6.52,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,Mueller 4 in 1 Swift Julienne Vegetable Peeler - Citrus Fruit Peeler for Orange Lemon Cocktails - Carrot and Potato Peeler with Rotating Serrated Straight and Julienne Stainless Steel Slicer Blades,KITCHEN_KNIFE,Amazon.com,,new,Contempo Home,,$19.99,$9.97,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/9/21,NY,Shipped,$9.97,$0.71,$10.68,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,"Mueller Mandoline Slicer, Premium Quality V-Pro Five Blade Adjustable Vegetable Slicer, Cutter, Shredder, Veggie Slicers for Fruits and Vegetables",FOOD_SLICER,Amazon.com,,new,The Connected Home,,$39.99,$19.97,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/9/21,NY,Shipped,$19.97,$1.77,$21.74,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,"Antimo Caputo Chef's Flour 2.2 LB - Italian Double Zero 00 - Soft Wheat for Pizza Dough, Bread, & Pasta",FLOUR,Amazon.com,,new,SimplyBeautiful,,$8.99,$11.88,1,Gift Certificate/Card and CREDIT_CARD_D,,,2/9/21,NY,Shipped,$11.88,$0.00,$11.88,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,Happy Anniversary Banner Gold Glitter Wine Glass for Cheers & Beers Theme Decor Wedding Anniversary Bunting Garland Party Decorations Supplies,BANNER,Amazon.com,,new,Whole Sea,,$14.99,$8.99,1,CREDIT_CARD_D,,,2/7/21,NY,Shipped,$8.99,$0.80,$9.79,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,"Organic Baby Bandana Drool Bibs - Bandana Bibs for Boys, Girls by KeaBabies- Super Absorbent Bandana Drool Bibs - Teething Bibs - Organic Cotton Baby Bibs for Infant, Toddler - 8 Pack (Grayscape)",FOOD_BIB,Amazon.com,,new,KeaWorld,ISO 9001,$29.99,$16.96,1,CREDIT_CARD_D,,,2/10/21,NY,Shipped,$16.96,$0.00,$16.96,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,Reebok Men's Crossfit Epic Cordlock-AMRAP Shorts,SPORTING_GOODS,Amazon.com,,new,ECMC Inc,,$70.00,$48.22,0,CREDIT_CARD_D,,,,NY,,$0.00,$0.00,$0.00,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,"Similac Slow Flow Nipple and Ring, 10 pack",BABY_PRODUCT,Amazon.com,,new,FormulaONE,,$0.00,$15.96,1,CREDIT_CARD_C,,,2/10/21,NY,Shipped,$15.96,$1.42,$17.38,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,Rubbermaid Cleverstore Clear 95 QT Pack of 4 Stackable Large Storage Containers with Durable Latching Clear Lids,STORAGE_BOX,Amazon.com,,new,Amazon.com,,$179.99,$75.00,1,CREDIT_CARD_C,,,2/9/21,NY,Shipped,$75.00,$6.66,$81.66,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,"Similac Pro-Advance Infant Formula with 2'-FL Human Milk Oligosaccharide (HMO) for Immune Support, Ready to Drink Bottles, 2 Fl Oz (48 Count)",HEALTH_PERSONAL_CARE,Amazon.com,,new,Amazon.com,,$51.99,$51.99,1,CREDIT_CARD_C,,,2/10/21,NY,Shipped,$51.99,$0.00,$51.99,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,"Graco Jogging Stroller Weather Shield, Baby Rain Cover, Universal Size to fit Most Jogging Strollers, Waterproof, Windproof, Ventilation,Protection, Pram,Vinyl, Clear, Plastic",BABY_PRODUCT,Amazon.com,,new,Baby Headquarters,,$49.99,$24.99,1,CREDIT_CARD_D,,,2/13/21,NY,Shipped,$24.99,$2.22,$27.21,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,Similac Slow Flow Ready to Use Disposable Nipples and Rings Set of 25,BABY_PRODUCT,Amazon.com,,new,MA Health,,$0.00,$29.70,1,CREDIT_CARD_D,,,2/16/21,NY,Shipped,$29.70,$2.64,$32.34,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,"Baby Diapers Newborn/Size 1 (8-14 lb), 198 Count - Pampers Swaddlers, ONE MONTH SUPPLY (Packaging and Prints on Diapers May Vary)",INCONTINENCE_PROTECTOR,Amazon.com,,new,Amazon.com,,$49.99,$49.99,1,CREDIT_CARD_D,,,2/17/21,NY,Shipped,$49.99,$0.00,$49.99,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,Loveuing Kitchen Oven Gloves - Silicone and Cotton Double-Layer Heat Resistant Oven Mitts/BBQ Gloves/Grill Gloves - Perfect for Baking and Grilling,POT_HOLDER,Amazon.com,,new,LoveU.,,$0.00,$14.40,1,CREDIT_CARD_D,,,2/17/21,NY,Shipped,$14.40,$1.28,$15.68,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,"Syntus 2 Pack Adjustable Bib Apron Waterdrop Resistant with 2 Pockets Cooking Kitchen Aprons for BBQ Drawing, Women Men Chef, White",APRON,Amazon.com,,new,SyntusDirect,,$0.00,$9.99,1,CREDIT_CARD_D,,,2/17/21,NY,Shipped,$9.99,$0.00,$9.99,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,Carefree Acti-Fresh Body Shape Pantiliners Extra Long Unscented - 93 Count,SANITARY_NAPKIN,Amazon.com,,new,Amazon.com,,$10.00,$5.79,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/20/21,NY,Shipped,$5.79,$0.00,$5.79,,,,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides & Glycerin | 16 Fluid Ounce",SKIN_CLEANING_AGENT,Amazon.com,,new,Amazon.com,,$13.99,$14.64,1,CREDIT_CARD_D and Gift Certificate/Card,,,2/24/21,NY,Shipped,$14.64,$1.30,$15.94,FALSE,,FALSE,USD,
,,,,,,,,,,,,,,,,,,,,,,,,
